10000 10000
7656 1988 -1.171200
7654 7515 1.699800
7654 6160 -0.342100
7654 5746 2.459500
7653 4270 -0.618000
7653 1087 -0.721000
7652 1162 0.803200
7651 4200 1.179300
7650 2543 2.219100
7648 9885 0.168400
7648 7824 0.534900
7648 3138 0.576700
7647 9610 -0.383000
7647 406 -1.513500
7645 3761 0.488400
7643 8655 -1.244100
7643 2305 -0.973500
7641 9983 -0.493600
7641 100 -2.083300
7639 8695 0.493900
7639 7633 0.130200
7637 4197 0.816200
7637 802 0.764600
7636 4546 -1.071700
7636 2557 1.229000
7634 1479 0.290000
7631 6577 0.985900
7630 6787 0.944400
7630 4136 0.542700
7625 3780 -0.270800
7624 2308 0.567700
7623 4754 1.274900
7623 3296 0.275900
7622 8225 -2.072300
7622 3835 0.723700
7622 1692 -1.034200
7620 9658 -0.515300
7619 6339 -0.755300
7619 4688 0.999000
7619 1339 0.030500
7617 9894 -0.475100
7614 9731 -0.153400
7614 5017 0.774400
7614 280 1.242100
7613 7294 -1.521300
7611 5651 -1.002000
7611 5514 -0.658300
7609 8416 -0.550600
7608 5591 1.461500
7608 4527 -2.352800
7607 7148 0.266500
7607 3038 -0.702500
7606 7691 -1.156100
7603 2565 0.542500
7601 9441 -2.279200
7601 1586 0.794800
7601 779 0.181300
7598 6254 -1.006200
7597 1219 1.631700
7594 108 0.009500
7591 9070 0.915100
7590 5817 -1.209200
7589 8050 0.781400
7589 3361 -1.300600
7587 4682 0.368300
7585 9884 1.133800
7585 1811 -1.095200
7584 3386 -1.356900
7583 5109 2.346000
7583 4912 -1.713900
7583 2908 0.205600
7583 154 -0.774900
7581 5136 0.272600
7581 3708 1.744800
7580 9074 -1.923600
7580 8683 0.897400
7580 8133 0.038400
7579 1149 -0.059100
7578 8488 -1.388300
7577 4503 -0.133000
7576 5780 -0.607500
7576 475 -0.970700
7573 9613 0.649000
7570 4932 -0.696200
7568 3210 0.291700
7567 5940 0.200600
7563 9594 0.584000
7561 7707 -0.216600
7561 7104 -1.576300
7561 2876 -0.263100
7560 8851 -1.789200
7559 6231 0.405600
7557 5630 -1.256200
7556 9281 -0.273400
7556 8962 0.613700
7556 8723 -0.020000
7555 9746 -0.094400
7553 9653 -1.120100
7553 4138 0.191800
7553 1894 0.700100
7551 4166 -0.730000
7551 3611 -1.555300
7551 979 -1.103700
7546 4923 0.599300
7546 4603 0.412300
7545 9746 0.684000
7544 1961 -0.411300
7541 7371 1.034300
7535 260 -0.543300
7534 5787 -0.508500
7534 2362 -0.748300
7533 5742 -1.678400
7529 3350 1.210700
7526 9781 0.642500
7524 557 -0.728700
7523 9373 1.465100
7523 3662 -0.546200
7523 3466 1.617900
7521 2559 -2.810500
7521 15 0.684200
7520 975 1.739000
7519 7423 0.275300
7519 6484 0.611700
7519 5472 0.207500
7519 5084 0.483100
7519 4097 -0.425700
7517 1863 0.949700
7516 9000 0.478800
7516 1126 -0.127100
7515 9446 0.418900
7515 4264 0.732300
7514 6626 0.740600
7513 5844 -0.674900
7511 6958 1.928600
7510 8484 1.555300
7510 5738 -0.735500
7509 5522 0.335100
7509 3783 0.052900
7508 6368 -1.346800
7508 4613 -0.868100
7507 1472 0.146900
7502 9163 0.451900
7502 2639 0.719100
7501 6701 0.158300
7499 2470 1.511600
7496 5537 0.489900
7495 3645 -0.059900
7493 8889 0.497600
7493 8310 -0.791000
7493 5238 -0.508100
7492 9792 -0.669300
7492 6320 -1.595600
7491 2318 -1.806700
7490 3066 -0.008400
7490 419 0.247700
7488 9644 -0.029600
7487 2151 1.363400
7486 4560 -0.626600
7486 3864 -0.432000
7484 8437 -1.019300
7478 1901 0.114500
7478 133 -1.657000
7477 3137 2.036400
7476 9487 0.281700
7476 2689 0.337500
7475 8564 0.743900
7474 8058 2.098500
7474 4108 -1.162500
7474 2029 -0.065000
7474 1970 1.236200
7473 8820 1.479500
7472 9714 -2.571300
7471 8200 -0.423100
7469 4452 0.240900
7468 6953 0.797500
7467 6473 1.223600
7462 1573 -0.269400
7460 6011 1.647400
7460 2650 -0.527800
7459 3357 -0.248800
7459 940 -1.388400
7458 7723 -0.317700
7456 5164 0.133100
7455 761 0.941200
7455 704 1.504600
7454 4337 -1.420300
7454 1873 -2.215000
7451 227 0.241800
7449 3888 -0.103700
7448 6829 0.210800
7445 6999 0.527200
7443 9876 -0.115300
7443 8614 -0.480400
7443 4313 1.592500
7443 3254 -0.268200
7443 1571 -1.163500
7443 1563 -0.633600
7442 6142 -0.587100
7440 3436 1.128700
7439 2076 0.571000
7437 1691 -1.052900
7436 8530 -0.518700
7436 6406 -0.724800
7436 5562 -0.578200
7436 3997 -0.466300
7434 7596 -1.094600
7434 2622 -0.703900
7433 7693 0.322600
7432 370 -0.102100
7430 4023 0.113500
7427 1773 -0.204500
7426 7116 0.036100
7426 5208 2.056500
7426 1920 -2.207600
7425 557 0.470100
7423 3949 -0.121500
7422 8979 0.863500
7421 1747 2.043300
7420 9458 -3.504100
7420 1224 0.328100
7418 8925 -2.519300
7417 4407 0.215300
7417 1740 -0.328400
7415 2765 0.806500
7413 7875 -1.345200
7412 8661 0.493800
7410 9672 -1.327400
7407 8327 -1.080500
7403 4341 -0.530900
7402 735 0.817200
7401 5581 1.045700
7400 8216 0.214800
7400 4319 -0.275000
7399 4136 -0.361400
7399 1726 -0.231500
7398 5968 1.047900
7398 55 0.896400
7397 1372 0.389300
7396 5663 -0.797400
7395 7543 0.921700
7395 4252 -0.803600
7393 5064 1.722700
7393 1421 0.927400
7392 5212 -0.334800
7391 7379 1.687100
7390 9340 -1.134000
7389 7492 -0.485300
7384 9971 1.442200
7384 5782 -0.232700
7381 9317 0.081500
7380 8509 -0.104500
7380 5985 -2.188500
7378 2334 -0.805400
7376 5883 0.449700
7376 5848 0.622900
7375 7048 -0.352700
7375 6153 0.302600
7375 417 0.848800
7374 1726 -0.831000
7373 2069 2.183400
7370 8944 -0.273800
7369 9730 -0.479000
7369 4078 -0.388000
7368 8349 -0.656300
7368 6157 -1.219900
7368 494 1.285900
7367 1443 -1.105600
7367 629 0.043800
7366 2680 -0.421200
7365 3534 -0.304300
7365 3071 -0.467700
7363 6601 0.504400
7363 5047 -0.473500
7363 1494 1.215300
7362 6753 0.420900
7362 4801 0.589900
7362 2540 -0.691200
7361 7912 -0.610700
7361 6878 -1.721000
7360 5521 -0.802000
7360 2360 -0.225700
7359 6201 1.528200
7358 9018 0.865500
7357 2615 0.396700
7356 6549 0.376800
7353 4690 -2.842700
7353 2784 0.377200
7351 2392 1.471800
7349 2125 -0.508300
7349 1299 0.495900
7348 7655 0.442000
7348 6182 -2.512100
7347 3793 1.076000
7343 357 -0.296500
7342 7966 0.970000
7342 277 -0.250100
7340 3247 0.856800
7339 6651 -0.597200
7339 6514 -0.585300
7339 5512 0.195300
7338 7921 1.017100
7337 9426 0.604300
7337 8603 -0.968600
7336 5170 -0.788100
7335 7339 -1.577000
7334 6202 -0.943800
7332 7051 0.229500
7331 8413 0.883700
7331 7168 0.279200
7329 9595 1.090500
7329 7909 -1.456900
7329 5258 -0.603300
7328 5704 -0.643600
7328 4881 0.436400
7325 4515 1.354400
7324 3867 0.561600
7324 1390 -0.039500
7323 6811 0.251400
7323 6334 0.348100
7322 6254 -0.688600
7320 1205 0.823600
7320 791 0.671400
7319 6719 0.259000
7319 6604 -0.223200
7318 7586 -0.958600
7316 9305 0.657400
7316 6017 -0.216300
7315 7415 0.216000
7315 3910 -1.081700
7309 6698 -0.502600
7309 1769 1.299700
7309 97 -0.188400
7309 90 -0.930900
7308 4068 0.973500
7307 9327 1.888500
7307 7690 0.089700
7305 7522 0.441200
7305 1369 -0.110500
7305 274 -1.326600
7304 9471 0.576900
7304 9219 0.499700
7304 1759 1.608200
7302 6971 0.490900
7302 5774 -1.956500
7301 2722 -0.079000
7300 8675 0.481000
7298 7523 -0.103400
7296 9287 -0.399800
7295 8159 0.865200
7295 6964 1.299700
7294 4130 0.339200
7292 9369 -0.399900
7292 3231 -0.792300
7291 7340 0.597100
7290 4072 0.622700
7289 4113 0.536500
7286 4505 -0.143500
7286 3621 -1.085500
7284 7944 -0.091600
7280 9412 -1.056700
7280 8162 0.768700
7280 6946 0.513500
7279 3848 1.799100
7279 357 0.174500
7277 3742 -0.199800
7276 7334 -0.073500
7275 1861 0.640500
7274 6985 0.373000
7273 326 -1.990000
7272 2369 -0.232300
7270 5241 1.007300
7268 8262 -0.208600
7267 3745 -0.610000
7266 4514 0.496000
7266 1260 -0.111200
7260 6665 -0.278100
7260 4276 0.950000
7257 8776 0.116800
7257 3780 0.443300
7257 1528 1.213300
7256 2883 0.926200
7254 8909 -0.010000
7254 6335 -0.679400
7253 6138 -0.760900
7253 4053 0.805900
7253 527 0.932200
7252 6854 -0.414900
7251 9630 -0.302100
7250 2699 1.054500
7247 2109 -1.141700
7246 7295 1.122200
7245 4919 1.033800
7245 1329 -1.752000
7244 7184 1.600800
7244 4428 0.966900
7244 4160 0.455900
7244 1405 0.836100
7243 5099 0.054800
7242 8275 -0.130100
7242 3638 1.827500
7240 7285 -0.490200
7236 2169 0.671900
7233 9190 1.441900
7232 6282 -0.998100
7230 7679 -0.896300
7230 6989 -0.729900
7230 5135 1.513600
7230 4177 -0.387100
7228 1743 -0.319200
7228 219 -1.250400
7227 4600 -0.275800
7225 8597 -0.502700
7225 8271 0.864300
7225 7607 1.632800
7223 2399 1.209000
7222 8663 0.451700
7222 1999 -0.281400
7220 7118 0.772100
7220 2350 0.458500
7219 5031 1.125900
7219 1969 0.565900
7218 6778 1.063100
7218 5684 0.198100
7218 4061 -1.461400
7218 1778 -0.742100
7217 7300 0.690200
7217 6663 -0.365600
7215 9759 -0.138700
7215 5440 1.205600
7214 9224 0.513300
7214 7995 -0.066400
7212 4530 0.072800
7211 1453 -0.032800
7211 1116 -1.621100
7210 7237 0.282000
7210 5136 -1.292500
7209 4605 0.888800
7209 4503 0.127500
7208 7517 0.622600
7208 3515 -2.771600
7206 9468 0.023800
7206 6560 -0.644100
7205 4548 1.312700
7205 2806 -0.027600
7204 1785 -0.976700
7201 8697 -1.762000
7200 8456 0.494500
7199 9790 -0.920400
7199 2599 -0.532900
7198 5511 -0.527800
7198 5403 -0.205400
7198 2477 1.483400
7197 4702 -1.034300
7196 6449 0.277800
7196 2333 1.968700
7196 1376 -0.287900
7195 7762 0.433200
7195 6241 -0.031700
7195 1874 0.353500
7194 1326 -0.237300
7193 8795 2.716900
7192 4662 -0.986400
7190 7436 -0.277300
7189 2592 -1.448900
7188 5975 -0.365300
7187 8711 0.389000
7186 6712 -0.435400
7185 3616 0.354700
7184 9440 -1.140200
7184 8597 -2.219500
7184 519 0.948500
7183 7492 -0.731600
7182 6516 0.299600
7181 5566 0.944500
7181 3524 -1.150800
7181 2484 0.850500
7179 9383 0.790400
7179 6791 1.402200
7178 8456 0.146100
7178 6003 -0.662500
7178 3888 0.006200
7177 5038 0.668000
7176 6724 1.552300
7176 6482 -0.194300
7176 3906 -0.503600
7175 4268 -1.966700
7171 5688 -0.705600
7171 375 1.329300
7170 9759 0.263900
7170 5647 0.579100
7170 2218 0.278400
7169 7765 0.308100
7169 1727 -0.158300
7168 8624 1.111100
7167 7431 0.802400
7167 5433 -0.236200
7165 8833 -2.043600
7165 2915 -0.019600
7163 1131 0.251000
7162 2532 -1.188700
7161 5900 -0.032200
7160 3751 -0.344300
7159 1681 0.927200
7157 682 1.450700
7154 9319 0.036800
7149 733 -0.779600
7148 4403 -0.218400
7146 7095 -1.381600
7146 3657 -1.351200
7145 5474 -1.440800
7144 7130 -0.208300
7144 6440 -0.082100
7143 1387 0.484900
7142 2866 -1.063200
7141 7643 1.540800
7140 6943 0.415000
7140 5588 -1.003700
7139 3488 0.407600
7139 2353 -1.437300
7139 402 -0.207700
7138 8736 -0.471100
7137 6040 1.343200
7137 3781 1.316100
7136 8500 0.289900
7135 3516 -0.266500
7134 2414 -2.491700
7134 2066 -2.238000
7131 8646 -0.151500
7128 7217 -0.627300
7127 5196 0.962600
7127 4241 -0.375900
7126 7709 0.167700
7126 2922 -1.070300
7125 6195 -0.784800
7124 7956 0.188300
7124 2751 0.493800
7124 2692 -1.055300
7123 8640 -0.165600
7123 7718 0.513700
7123 7091 -0.113600
7123 6982 0.544500
7122 5321 0.692500
7120 7100 -0.573500
7118 9101 -0.580800
7118 228 -1.132700
7114 8383 -0.816500
7113 6523 0.983500
7113 5697 1.024200
7113 5442 1.103900
7111 7191 -0.705400
7110 7468 0.969300
7110 2093 1.492900
7110 423 0.536300
7108 4783 -0.276600
7107 1563 1.479900
7106 6325 0.324800
7106 549 -0.819800
7105 8717 -1.143100
7105 57 -0.461900
7104 9773 -0.605400
7103 8949 0.667600
7103 4628 -1.455400
7102 6585 -0.110600
7102 5970 0.863300
7101 2468 0.703200
7099 8166 0.025900
7099 5572 -1.261900
7098 5955 1.014100
7091 3908 -0.094700
7091 610 0.493000
7089 5109 -0.178300
7088 3644 -0.347100
7088 874 -0.389100
7087 7309 1.463200
7087 6985 0.346100
7085 3164 -2.635900
7084 3322 -2.861500
7082 1871 -2.106900
7081 5950 0.051800
7081 4265 0.403700
7080 1920 1.319200
7078 5800 -1.951200
7077 3801 1.201300
7075 6666 -0.109700
7074 89 0.066600
7073 6076 0.437000
7070 1946 -1.638800
7068 9151 1.452500
7067 7518 -1.019600
7067 4597 -0.760700
7067 187 -1.328600
7062 1353 0.024700
7061 7129 1.088700
7061 3957 -0.067100
7061 2056 -1.885500
7060 9354 1.112400
7059 7000 -0.881200
7059 4413 -1.662800
7058 6004 -1.716200
7057 4941 -0.496300
7057 437 -2.063600
7051 9394 1.917300
7051 8810 -0.316500
7051 3403 -0.080700
7050 864 0.282500
7049 8948 -1.250300
7049 8095 -0.727600
7049 8090 1.547800
7049 3646 0.906400
7048 8485 0.323400
7048 6468 -1.786700
7047 7746 -0.239500
7046 5633 -1.743200
7045 717 -1.572500
7044 8324 0.825500
7044 6409 0.778900
7044 2606 1.520000
7044 1422 -0.327400
7042 9768 -1.116500
7041 7467 0.571000
7041 10 -0.207800
7040 3855 -1.674000
7040 3347 1.012700
7037 6709 0.693700
7037 1292 -1.642100
7036 1042 0.120000
7034 4859 -2.142200
7033 5734 0.314100
7032 6796 0.099200
7032 5758 -0.019400
7031 608 0.525000
7029 3696 0.053300
7028 8098 -0.539100
7026 9646 0.513700
7026 4621 2.032300
7026 917 -0.742400
7024 4599 1.557300
7022 9892 -0.205600
7022 7959 -1.685500
7020 7098 1.170500
7020 4771 -0.719500
7018 7329 -1.604300
7017 8426 -0.751400
7016 3885 -0.423200
7014 3604 -0.822200
7013 1890 0.684800
7012 9637 1.381900
7011 8948 -0.969700
7010 2062 -2.127800
7007 4939 -0.697200
7004 3871 0.400900
7004 3557 -1.120200
7003 52 -0.372300
7002 915 -0.129800
6999 9509 -0.800900
6997 8848 -0.700400
6997 3769 0.698400
6996 2429 0.204700
6993 4640 -0.845700
6991 4978 -1.327100
6990 577 -0.734900
6989 2750 -1.234800
6988 8640 1.554200
6987 7019 -1.132200
6986 4861 1.002700
6986 2454 -0.682700
6986 956 -0.061500
6985 6856 -0.182300
6985 4869 0.251700
6985 1114 -0.569300
6984 2178 1.014500
6983 9978 -1.078600
6983 877 -0.085000
6982 6864 -1.131400
6982 1153 0.595700
6980 7607 0.031700
6980 3121 -0.991100
6979 1874 0.905800
6978 8078 -0.166700
6975 3680 0.074400
6974 3462 0.317100
6971 8756 -0.892300
6968 5097 0.748400
6966 4342 -1.102800
6966 920 -1.568900
6966 224 -0.743000
6963 1468 -1.474300
6961 4414 0.881200
6961 2070 -0.390300
6961 1113 0.579300
6960 2062 1.763100
6957 3528 -1.392000
6956 1469 0.333400
6954 8247 -1.292800
6952 8200 -1.236300
6949 3069 0.134800
6948 7005 1.227000
6948 5718 0.256300
6948 2988 1.256100
6947 9434 0.526500
6947 2377 0.725900
6946 9904 2.534000
6944 5113 0.437900
6944 3073 1.632200
6944 2071 -0.079500
6942 8688 1.736000
6942 3502 -0.471500
6941 2631 1.397700
6940 7526 -0.919500
6940 4816 -2.781000
6940 1002 0.169600
6939 6987 0.012000
6938 9260 0.841500
6937 9082 0.746500
6935 7642 -0.665400
6933 3830 -1.468200
6932 5108 0.264700
6926 3477 0.310100
6926 1814 -1.159300
6924 8925 0.562100
6924 5629 -0.328300
6922 3525 -1.160000
6921 7328 -0.787600
6921 6960 -2.118600
6920 8723 -1.130900
6919 8134 -0.658200
6918 1265 0.067200
6917 3463 0.147000
6916 7706 -0.043400
6915 4038 -1.088200
6914 5376 0.979300
6914 4236 -0.603000
6912 2785 0.260600
6911 8911 0.317400
6910 6022 1.062900
6910 981 0.092700
6907 9324 1.191300
6907 1239 -0.047200
6907 329 -0.131400
6905 2412 0.379600
6904 952 1.046500
6903 6825 -0.428000
6903 2384 -0.358000
6902 5405 0.659000
6901 9289 0.698000
6899 5401 -0.313500
6899 4764 -1.113100
6899 4682 1.314000
6899 258 -2.458100
6897 6529 0.238900
6897 2446 0.218300
6897 2311 -1.375200
6895 892 -0.140600
6894 8187 -0.785100
6894 3450 -0.427100
6893 2116 -0.397800
6892 8262 0.634100
6892 3740 -0.657200
6889 6846 -0.128800
6889 4188 -0.708300
6889 3882 -0.307900
6889 3493 0.626000
6889 3053 0.321400
6889 1397 0.275300
6888 7611 0.479500
6887 8341 0.043400
6886 8633 -1.178600
6884 7860 -0.615000
6884 7172 0.463300
6883 590 0.138800
6880 4430 -0.519300
6880 806 0.090800
6875 5354 0.047400
6874 8921 0.166700
6871 5513 -0.616800
6870 5361 -0.099600
6870 1758 -1.752900
6868 6995 0.463900
6863 2629 0.362300
6861 9955 -0.915600
6861 1517 0.380900
6860 1749 -0.496900
6859 8913 0.270000
6859 5123 -1.264400
6858 6818 -0.152600
6857 9857 1.918500
6855 875 -1.294900
6852 5746 0.961400
6852 653 -0.701800
6851 2078 -0.524200
6849 4045 -0.276400
6849 839 0.201100
6848 8584 -2.452700
6847 9143 0.256000
6847 7551 0.946500
6847 3895 -0.446500
6845 8133 0.619900
6845 3817 -0.022100
6844 1313 1.447500
6840 8000 0.217000
6839 8943 1.255500
6836 9764 -0.465400
6835 6579 0.028200
6835 3131 0.564700
6834 2761 -0.559900
6833 8308 -0.315100
6832 5445 0.022200
6830 1927 -1.512400
6828 872 0.174200
6827 4452 -0.784900
6826 8746 0.020300
6825 2092 -0.480100
6823 7011 0.209700
6822 8533 -0.485600
6822 6816 0.927300
6822 454 0.398000
6821 1526 -0.676700
6820 6963 2.123800
6817 2625 1.408600
6816 3952 0.847600
6813 7635 0.833600
6812 6598 -1.317100
6812 5498 -0.118500
6812 3188 0.823900
6809 9364 -0.179200
6809 7573 0.019400
6807 2881 -0.391700
6805 9117 -1.146500
6805 1694 -0.054500
6804 5026 0.040400
6802 8934 -0.419300
6801 852 -0.394000
6801 810 1.584000
6799 4968 1.937000
6799 1306 -0.106800
6798 4407 0.726200
6798 2098 -0.038100
6797 7250 -0.064300
6797 1653 0.204700
6796 9482 0.656800
6796 3384 -0.495100
6795 3378 -0.765800
6793 4909 0.695200
6793 2281 -0.887000
6792 8383 0.807900
6792 4456 0.728300
6788 1828 -0.381600
6788 672 -0.293000
6787 7489 1.167300
6784 3656 0.252000
6783 5253 -0.789700
6782 4384 1.407800
6781 2900 1.209900
6780 5118 -0.008800
6779 4145 0.182700
6778 5083 0.484500
6777 5360 -0.068300
6777 2308 1.088200
6775 8811 -0.369900
6773 8191 0.142800
6773 1938 0.043200
6773 1336 -1.289400
6771 7562 0.480300
6771 2933 0.733100
6771 658 -1.152000
6770 7121 -0.974200
6769 917 -0.080600
6768 9819 -0.668800
6768 1036 0.221500
6768 21 -0.230800
6766 6523 -1.729100
6764 6325 1.222600
6763 7798 1.087600
6763 6333 1.185500
6763 2393 -1.137900
6763 2188 -0.470300
6762 7975 0.293300
6761 852 1.160400
6759 3687 -0.357900
6758 8681 1.245200
6757 6373 0.291600
6755 8633 -0.936000
6755 4477 0.672000
6753 5859 0.719200
6752 366 0.787200
6751 9933 -2.581900
6750 3976 -0.708100
6750 2333 -0.361300
6749 6536 -1.569400
6748 7126 1.658500
6747 551 0.911000
6745 8348 0.209400
6745 7390 -0.089600
6744 8040 0.039100
6743 5040 0.236100
6742 70 -0.180800
6741 3832 0.812800
6740 4698 0.439000
6739 4937 0.935500
6738 6623 -0.816000
6738 4622 -0.392700
6737 3130 -0.210400
6735 9105 -1.149200
6735 6215 -1.783600
6729 1209 0.247800
6727 3082 1.949900
6725 1977 -1.207200
6724 9096 1.066300
6722 1526 -1.272100
6720 3234 -1.019000
6720 990 0.057800
6718 1933 -0.177100
6716 7775 2.877300
6715 5988 0.774900
6715 1909 -2.341000
6714 4027 0.481600
6713 5872 0.143100
6712 349 0.110900
6711 4715 -1.226600
6709 648 -1.045500
6708 7697 0.052900
6706 7538 0.228600
6706 5556 -0.715100
6706 2466 -1.804100
6705 2624 -0.838400
6705 2160 0.052000
6705 1563 1.332300
6699 8325 1.154800
6698 3635 0.881700
6695 6393 -0.441600
6694 6641 -0.808200
6694 1095 -1.016100
6691 7742 0.523000
6690 3892 0.662000
6689 6234 -0.027900
6687 4253 0.746800
6686 7391 -0.608200
6684 5008 0.864500
6683 5236 -0.611200
6682 4910 -0.587400
6681 4672 -0.535700
6680 9198 0.073800
6680 8759 1.594300
6679 7697 -1.022800
6679 6271 -1.259500
6679 1740 0.768900
6678 6492 -1.217300
6678 5185 0.037800
6677 9105 0.405600
6674 9127 0.090100
6673 8069 1.912000
6672 9603 0.445100
6670 7791 1.406100
6670 2915 0.643000
6669 2108 0.322100
6668 9869 -0.016600
6668 8261 -1.527400
6668 6198 -0.682100
6668 4639 0.316700
6666 4322 0.976200
6665 8940 0.717400
6664 5803 0.228200
6662 5370 0.940400
6662 5188 2.162300
6659 4606 0.982600
6657 8287 -1.059600
6657 5541 -0.362500
6657 303 0.882000
6656 7925 0.408300
6656 2707 1.444600
6655 3226 -0.265500
6652 4455 0.181200
6651 2511 -1.705900
6650 3126 0.637200
6650 2450 -0.544400
6649 7445 -0.725500
6647 9034 -0.309800
6647 2061 2.129200
6645 5849 1.443700
6645 991 1.153000
6643 8882 0.504000
6643 3522 0.410600
6642 7391 0.783100
6642 2418 -0.436700
6641 8156 -0.898500
6641 1706 -0.171900
6640 4484 -1.211600
6639 3427 0.079700
6639 2498 -0.870900
6638 659 0.037800
6637 9546 -0.441700
6636 2436 0.180100
6634 9861 -0.429100
6632 2630 -0.292800
6628 9569 1.151500
6626 4474 1.199900
6624 2052 -1.179300
6624 898 -0.216600
6622 6811 2.599300
6619 1040 0.779700
6618 9710 -1.002400
6618 1975 -0.483500
6617 9857 -0.420100
6617 9699 0.153000
6616 9386 0.707100
6616 1761 0.600900
6616 1184 -0.611800
6615 5547 0.512200
6615 4559 -0.314800
6615 1040 -1.246500
6614 4986 0.200600
6613 9509 0.593700
6613 5345 -0.897200
6611 9869 -1.184000
6611 1537 0.202700
6610 380 -0.052300
6609 4360 -0.006900
6609 2193 -1.412500
6608 9280 0.783800
6608 3287 -0.145000
6607 9012 0.379400
6607 6348 -2.221100
6607 4279 -0.630400
6606 480 -1.163400
6604 2320 1.396100
6602 8673 -0.605100
6601 2997 -1.212300
6598 6549 1.856900
6597 7452 1.326300
6596 8921 -0.122100
6593 6877 -0.662400
6593 4221 1.447200
6591 5909 0.592100
6591 5686 -0.025900
6590 2311 -0.023800
6589 5390 0.783500
6588 3967 -0.002500
6588 3374 0.115400
6587 5022 1.280500
6587 2818 -1.492800
6585 7908 0.210700
6584 6713 2.074200
6584 5404 -0.603700
6583 7226 1.052600
6583 456 -1.268000
6582 868 0.273900
6580 6538 0.355800
6579 221 1.169300
6578 8517 0.272500
6578 160 0.315400
6576 2623 1.146100
6576 1120 -1.862000
6575 5362 -0.346600
6575 184 0.633200
6573 13 -0.419100
6572 5714 1.634200
6570 963 0.813300
6569 6704 0.443300
6569 6589 1.260500
6567 9387 0.159000
6564 3304 0.021600
6562 2280 0.085500
6559 7904 -0.444300
6559 176 0.749100
6556 5957 -0.339400
6556 761 0.208400
6555 6937 -0.897600
6554 9388 -0.198000
6553 7221 -0.560200
6553 2554 1.260500
6550 5830 0.412300
6550 5061 -1.522000
6548 9242 -0.503500
6548 6697 -1.063900
6548 453 0.882600
6547 5082 -0.183900
6547 1988 -1.085400
6547 26 1.185700
6546 6779 -0.903500
6546 5553 -0.634000
6546 5036 0.564500
6546 4520 0.708000
6544 252 0.256500
6543 7326 1.640500
6543 1124 -1.440000
6542 6706 0.093100
6541 249 0.421600
6540 4841 0.367000
6538 8146 -0.089100
6537 7149 0.253200
6535 8281 0.775000
6535 6573 -1.571000
6535 6485 -0.432800
6535 3822 -0.473700
6535 1844 -0.443100
6533 5548 -1.748900
6532 4839 -0.722900
6531 9607 1.297500
6530 6551 0.069900
6530 935 0.778700
6529 1212 0.247400
6528 8758 -0.442900
6527 5999 0.582300
6527 5220 -1.181200
6524 3925 -0.458200
6522 9100 -0.280800
6521 8239 2.026400
6521 2173 1.231900
6518 7256 1.823600
6518 7132 0.620700
6517 8626 0.047200
6517 5144 -2.439300
6516 1787 -0.483200
6515 266 -1.927200
6514 7192 -1.440700
6512 8376 0.221300
6509 4514 -0.540500
6508 7407 -0.606200
6507 8632 -1.019600
6507 7897 0.209100
6507 6960 1.643900
6507 3307 2.377300
6507 1804 -0.125100
6506 9782 0.637600
6506 5944 1.903700
6506 4634 0.545700
6505 1229 0.527100
6503 4337 -1.273000
6503 552 0.778900
6502 6431 -0.714400
6502 3160 1.026500
6501 4460 -1.797300
6500 5578 0.832400
6500 2920 0.188600
6500 143 0.497600
6499 3538 0.521200
6499 2640 -0.056300
6499 1089 -1.057600
6499 727 -1.621000
6498 8415 -0.738800
6498 3600 0.595400
6497 4215 0.320400
6496 4952 1.079200
6495 6377 -0.429000
6495 5772 0.249300
6495 1385 0.006000
6495 177 -0.433300
6492 4517 0.656300
6489 9705 -0.753500
6489 971 0.639600
6488 9752 -0.318200
6487 7258 0.717700
6486 1446 -0.481100
6485 7921 -0.953800
6485 3462 0.006000
6485 760 1.572300
6483 977 -1.639800
6482 5494 -0.125400
6482 2962 -0.047500
6482 2207 0.034400
6479 9631 1.169800
6478 5910 2.244600
6478 5568 -0.354400
6478 601 -1.968200
6478 204 -0.471000
6477 7589 0.492600
6477 771 -1.069700
6476 5827 -0.889800
6475 9257 0.143800
6475 7936 -0.645300
6475 4447 1.690300
6474 6779 -1.127000
6474 3587 -0.059400
6474 3118 -0.970500
6472 5531 -0.918200
6471 5668 -0.514700
6470 9750 1.051000
6468 6952 -0.387600
6468 1829 0.304400
6467 9000 -0.711200
6465 9076 0.619500
6465 9013 0.731600
6464 5496 0.893300
6460 9418 -1.594800
6460 5216 1.235400
6460 54 -0.140400
6459 4644 -0.076000
6458 6578 2.348500
6458 3975 0.545100
6457 8528 0.016900
6457 1331 -0.004900
6456 7958 -0.778900
6450 4718 0.867300
6449 9624 0.451200
6449 8595 -0.257400
6449 4940 -0.952800
6448 8282 -1.474300
6447 5988 0.385900
6446 7071 0.900700
6442 5473 0.153100
6442 4697 1.707300
6442 1175 1.895900
6440 4109 1.946900
6439 3973 0.257600
6439 3659 -0.465100
6438 2113 0.650300
6437 3399 1.600900
6432 5564 0.188900
6432 2465 -0.101900
6431 3788 -2.458500
6430 7057 -0.257600
6430 727 0.508600
6429 7012 1.795700
6429 2042 -0.299200
6427 9858 -1.168600
6426 4103 0.225800
6425 8244 0.406400
6424 9185 0.461100
6424 1992 0.712600
6423 5590 0.106800
6422 7522 -1.206200
6422 6209 1.919000
6422 103 -0.400800
6421 2992 -0.009900
6420 734 0.388700
6417 3569 0.066900
6417 1448 1.114400
6414 6221 0.030900
